Reference, Value, Footprint, Datasheet
U2,AP7331,SFUSat:SOT25,
P1,3v3_IN_CONNECTOR,SFUSat:2x01In_Header_v2,
C2,1uF,SFUSat:C_0402,
C21,1µF,SFUSat:C_0402,
U1,TMS570LS0714,Housings_QFP:LQFP-144_20x20mm_Pitch0.5mm,
C17,0.1µF,SFUSat:C_0402,
C19,0.1µF,SFUSat:C_0402,
C20,0.1µF,SFUSat:C_0402,
C14,0.1µF,SFUSat:C_0402,
C15,0.1µF,SFUSat:C_0402,
C16,0.1µF,SFUSat:C_0402,
C18,0.1µF,SFUSat:C_0402,
C4,0.1µF,SFUSat:C_0402,
C5,0.1µF,SFUSat:C_0402,
C6,0.1µF,SFUSat:C_0402,
C7,0.1µF,SFUSat:C_0402,
C9,0.1µF,SFUSat:C_0402,
C10,0.1µF,SFUSat:C_0402,
C11,0.1µF,SFUSat:C_0402,
C12,0.1µF,SFUSat:C_0402,
C13,0.1µF,SFUSat:C_0402,
U3,AP7361_3.3v,SFUSat:SOT-223,
C23,1µF,SFUSat:C_0402,
C22,4.7µF,SFUSat:C_0402,
U4,INA301,SFUSat:VSSOP_8,
R1,7.5k,SFUSat:R_0402,
R3,0.04,Resistors_SMD:R_2512,
P2,INA_INPUT,SFUSat:3x_01In_Header_v2,
P3,INA_GND,SFUSat:3x_01In_Header_v2,
P4,INA_EN,SFUSat:2x01In_Header_v2,
Q1,DMN2075U,SFUSat:SOT23_DMN2075U,
R4,10k,SFUSat:R_0402,
P5,INA_OUTPUT,SFUSat:2x01In_Header_v2,
Q2,DMN2075U,SFUSat:SOT23_DMN2075U,
Q3,1v2_GOOD,SFUSat:SOT23_DMN2075U,
D1,LED,SFUSat:LED_0603,
R6,270,SFUSat:R_0402,
R5,10K,SFUSat:R_0402,
VR1,Trimpot,SFUSat:Trimpot_Bourns_TC33,
J1,PC104-8BIT,SFUSat:PC104-8bit,
Q4,DMN2075U,SFUSat:SOT23_DMN2075U,
D2,PESD5Zx,SFUSat:PESD57zx,
P6,USB_PORT,SFUSat:USB_MINIB_SMD,
U10,FT230XQ-R,SFUSat:QFN-16_650P,
P11,USB_5V,SFUSat:2x01In_Header_v2,
R2,27,SFUSat:R_0402,
R31,27,SFUSat:R_0402,
C33,10nF,SFUSat:C_0402,
C8,100nF,SFUSat:C_0402,
R32,10k,SFUSat:R_0402,
R33,10k,SFUSat:R_0402,
R34,10k,SFUSat:R_0402,
R35,10k,SFUSat:R_0402,
R36,270,SFUSat:R_0402,
R37,270,SFUSat:R_0402,
D4,TX,SFUSat:LED_0603,
D5,RX,SFUSat:LED_0603,
W15,TEST_1P,SFUSat:Test_Point,
Y1,XTAL,SFUSat:SMD_XTAL,
C27,33pF,SFUSat:C_0402,
C28,33pF,SFUSat:C_0402,
P7,OSC_FUALT_INJECT,SFUSat:2x01In_Header_v2,
SW2,SPST,SFUSat:Tact_SW_SMD_v2,
W12,nERROR,SFUSat:Test_Point,
C32,0.1µF,SFUSat:C_0402,
R25,10k,SFUSat:R_0402,
U9,TPS3110,SFUSat:SOT_23_6,
C31,0.1µF,SFUSat:C_0402,
SW1,SPST,SFUSat:Tact_SW_SMD_v2,
R22,200k,SFUSat:R_0402,
R23,187k,SFUSat:R_0402,
R24,100k,SFUSat:R_0402,
W14,RESET_TEST,SFUSat:Test_Point,
R28,100k,SFUSat:R_0402,
R27,100k,SFUSat:R_0402,
R29,100k,SFUSat:R_0402,
R30,100k,SFUSat:R_0402,
P12,JTAG_20PIN,SFUSat:JTAG_20pin,
JTAG5V_IN1,JTAG5V_IN,SFUSat:2x01In_Header_v2,
P13,WD_EN,SFUSat:2x01In_Header_v2,
R38,1k,SFUSat:R_0402,
R7,10k,SFUSat:R_0402,
W7,AD1EVT1,SFUSat:Test_Point,
W8,GIOB2,SFUSat:Test_Point,
Q5,DMN2075U,SFUSat:SOT23_DMN2075U,
D3,LED,SFUSat:LED_0603,
R9,270,SFUSat:R_0402,
R8,10k,SFUSat:R_0402,
R26,10k,SFUSat:R_0402,
W13,WD_TEST,SFUSat:Test_Point,
U5,FLASH_IS25LP016D,SFUSat:SOT-8_208mil_medium,
R11,10k,SFUSat:R_0402,
C24,0.1µF,SFUSat:C_0402,
R10,10k,SFUSat:R_0402,
W1,TEST_1P,SFUSat:Test_Point,
R12,0,SFUSat:R_0402,
R13,10k,SFUSat:R_0402,
W2,TEST_1P,SFUSat:Test_Point,
U6,FLASH_IS25LP016D,SFUSat:SOT-8_208mil_medium,
R15,10k,SFUSat:R_0402,
C25,0.1µF,SFUSat:C_0402,
R14,10k,SFUSat:R_0402,
W3,TEST_1P,SFUSat:Test_Point,
R16,0,SFUSat:R_0402,
R17,10k,SFUSat:R_0402,
W4,TEST_1P,SFUSat:Test_Point,
U7,FLASH_IS25LP016D,SFUSat:SOT-8_208mil_medium,
R19,10k,SFUSat:R_0402,
C26,0.1µF,SFUSat:C_0402,
R18,10k,SFUSat:R_0402,
W5,TEST_1P,SFUSat:Test_Point,
R20,0,SFUSat:R_0402,
R21,10k,SFUSat:R_0402,
W6,TEST_1P,SFUSat:Test_Point,
P10,FLASH_CS,SFUSat:3x_01In_Header_v2,
P9,FLASH_SPI,SFUSat:3x_01In_Header_v2,
U8,AB-RTCMC-EOA9-S3,SFUSat:RTC_AB-RTCMC_EA09_S3,
C29,10nF,SFUSat:C_0402,
C30,470µF,SFUSat:Supercap_v2,
W9,CLKOUT,SFUSat:Test_Point,
W11,RTC_INT,SFUSat:Test_Point,
W10,RTC_OE,SFUSat:Test_Point,
P8,RTC_SPI,SFUSat:4x01In_Header_v2,
